DistrictName,FALSE,TRUE,Total
GUCHA,2031,1404,59.1%
GUCHA SOUTH,661,652,50.3%
KISII CENTRAL,1763,1536,53.4%
KISII SOUTH,681,339,66.8%
MASABA,654,423,60.7%
Total,5790,4354,57.1%
