DistrictName,FALSE,TRUE,Total
GUCHA,1523,1912,44.3%
GUCHA SOUTH,659,654,50.2%
KISII CENTRAL,1546,1752,46.9%
KISII SOUTH,599,421,58.7%
MASABA,512,565,47.5%
Total,4839,5304,47.7%
