DistrictName,FALSE,TRUE,Total
GUCHA,1731,1704,50.4%
GUCHA SOUTH,703,610,53.5%
KISII CENTRAL,1558,1739,47.3%
KISII SOUTH,513,507,50.3%
MASABA,377,700,35.0%
Total,4882,5260,48.1%
