DistrictName,FALSE,TRUE,Total
GUCHA,1891,1544,55.1%
GUCHA SOUTH,771,542,58.7%
KISII CENTRAL,1888,1409,57.3%
KISII SOUTH,755,265,74.0%
MASABA,542,535,50.3%
Total,5847,4295,57.7%
